"","vote16","protest","vote20jb","vote20bs","apppres7","econpres7","covidpres7","healthcarepres7","dtleader1","dtleader2","econnow","confecon","taxecon","hlthcare2","covid1","covid2","covid_elect","impeach1","impeach2","inc_anes","inc_cpsmod"
"1",1,0,1,1,1,3,1,77,1,77,2,2,4,2,5,2,3,4,4,66,66
"2",1,0,1,1,2,2,1,77,1,77,2,2,2,2,4,3,2,7,1,7,66
"3",4,0,4,4,7,7,7,77,5,77,5,5,3,4,3,2,2,2,5,10,66
"4",1,0,1,1,2,2,2,77,3,77,5,3,3,5,3,3,2,7,1,1,66
"5",2,0,2,2,7,6,6,77,5,77,5,4,5,3,3,3,3,1,7,11,66
"6",4,0,1,2,4,3,5,77,5,77,4,3,5,2,5,3,3,6,1,9,66
"7",2,0,2,2,4,4,3,77,4,77,4,3,4,3,3,2,4,3,5,66,14
"8",4,0,4,4,2,1,5,77,1,77,5,5,3,5,4,1,4,5,3,66,2
"9",2,0,2,2,7,7,7,77,5,77,5,5,3,4,1,1,3,1,7,66,21
"10",1,0,2,2,7,6,7,77,5,77,4,3,3,3,3,2,3,1,7,66,16
"11",2,0,2,2,7,6,7,77,5,77,5,5,7,5,4,1,2,1,7,13,66
"12",2,0,2,2,7,4,6,77,5,77,3,4,3,3,2,2,4,1,1,66,3
"13",2,0,1,1,2,2,1,77,2,77,5,5,4,3,4,1,4,7,1,66,66
"14",1,0,2,2,7,4,4,77,5,77,5,5,7,3,3,2,4,4,4,66,7
"15",2,0,2,2,7,7,7,77,5,77,4,4,7,5,2,2,3,1,7,8,66
"16",1,0,3,3,3,3,3,77,5,77,5,5,4,2,3,2,2,7,1,66,66
"17",2,0,2,2,7,7,7,77,5,77,5,4,4,1,5,2,3,1,7,7,66
"18",4,0,2,2,7,7,7,77,5,77,4,3,4,3,3,4,3,1,7,5,66
"19",1,0,1,1,3,2,3,77,3,77,4,5,4,4,1,1,3,4,3,66,7
"20",1,0,2,1,3,3,5,77,5,77,4,3,3,1,4,3,3,6,2,9,66
"21",4,0,1,1,2,3,5,77,2,77,4,4,1,2,3,3,2,7,1,66,26
"22",1,0,2,3,7,3,7,77,3,77,5,3,3,1,2,2,3,2,6,66,66
"23",2,0,2,2,7,3,7,77,5,77,4,5,7,2,1,1,3,1,7,22,66
"24",2,0,2,2,7,6,7,77,5,77,4,5,7,2,3,1,3,1,7,66,7
"25",2,0,2,2,7,6,7,77,5,77,5,3,4,2,3,2,3,1,7,17,66
"26",2,0,2,2,7,7,7,77,5,77,5,4,6,4,1,1,3,1,7,11,66
"27",2,0,2,2,7,7,7,77,5,77,5,5,7,5,4,1,3,1,7,66,1
"28",2,0,2,2,7,7,7,77,5,77,5,5,4,3,2,1,3,1,7,66,66
"29",2,0,2,2,5,5,5,77,4,77,4,5,5,5,2,1,3,1,5,8,66
"30",4,0,1,1,2,3,4,77,3,77,4,3,4,3,3,3,2,7,1,11,66
"31",1,0,1,1,2,2,2,77,2,77,5,4,2,2,4,2,2,7,1,66,4
"32",2,1,2,2,7,7,7,77,5,77,5,5,5,3,2,2,3,1,7,66,16
"33",1,1,1,1,1,2,2,77,1,77,1,3,1,2,1,1,4,5,3,66,66
"34",1,0,1,1,1,3,1,77,1,77,2,3,1,4,2,1,1,6,6,20,66
"35",1,0,1,1,2,2,3,77,1,77,2,2,2,2,1,1,3,6,1,21,66
"36",4,0,1,1,1,2,1,77,1,77,4,3,2,2,5,2,3,7,1,66,14
"37",2,0,2,2,7,7,7,77,4,77,5,5,6,3,1,2,3,1,7,66,66
"38",1,0,1,1,2,1,2,77,3,77,4,3,3,1,4,3,2,7,1,66,13
"39",1,0,2,2,6,6,6,77,5,77,4,3,4,5,4,4,3,3,5,66,66
"40",4,0,3,2,3,5,5,77,4,77,4,2,3,2,3,2,2,5,5,66,66
"41",2,0,2,3,6,3,5,77,4,77,4,2,2,2,3,3,3,2,6,66,6
"42",1,0,1,1,2,5,4,77,4,77,2,2,3,2,2,2,2,4,4,66,66
